titulo;autor;isbn;paginas;ano
Nove Regras a Ignorar Antes de Se Apaixonar;Sarah MacLean;9788580415049;384;2016
Era Uma Vez No Outono;Lisa Kleypas;9788580414950;288;2016
Os Tambores de Outono;Diana Gabaldon;9788580415087;576;2016
Uma História Incomum Sobre Livros e Magia;Lisa Papademetriou;9788580415063;192;2016
Caminho das Sombras;Brent Weeks;9788580415100;432;2016
Um Novo Amanhã;Nora Roberts;9788580415124;320;2016
Pecados No Inverno;Lisa Kleypas;nan;288;2016
Profundo;Robin York;9788580415179;320;2016
Intenso;Robin York;9788580415193;272;2016
O Quarto Dia;Sarah Lotz;9788580415384;352;2016
Trama;Michael Jensen;9788580415278;304;2016
No Seu Olhar;Nicholas Sparks;9788580415445;432;2016
A História de Nós Dois;Dani Atkins;9788580415407;352;2016
Paixão Libertadora;Sophie Jackson;9788580415421;352;2016
Ligeiramente Seduzidos;Mary Balogh;9788580415469;288;2016
Aprendiz;Raymond E. Feist;9788580415506;416;2016
Mestre;Raymond E. Feist;9788580415513;416;2016
As Trevas de Sethanon;Raymond E. Feist;9788580415537;464;2016
Espinho de Prata;Raymond E. Feist;9788580415520;384;2016
O Mensageiro;Lois Lowry;9788580415674;160;2016
O Guia Definitivo do Mochileiro das Galáxias; Douglas Adams;9788580415544;672;2016
Sedução da Seda;Loretta Chase;9788580415698;304;2016
Confissões de Uma Garota Excluída, Mal - Amada e (Um Pouco) Dramática;Thalita Rebouças;9788580415797;272;2016
Não Fale Com Estranhos;Harlan Coben;9788580415711;304;2016
Os Tambores do Outono;Diana Gabaldon;9788580415346;469;2016
A Garota Italiana;Lucinda Riley;9788580415650;464;2016
Meio Rei;Joe Abercrombie;9788580415612;288;2016
Três Coisas Sobre Você;Julie Buxbaum;9788580415483;288;2016
Eu Sem Você;Kelly Rimmer;9788580415759;304;2016
O Principe de Westeros e Outras Historias;George R. R. Martin;9788580415834;464;2016
Noite Sobre as Águas;Ken Follett;9788580415636;432;2016
Para Sempre Minha;Abbi Glines;9788580415773;256;2016
Pecados no Inverno;Lisa Kleypas;9788580415872;256;2016
O Eterno Namorado;Nora Roberts;9788580415230;304;2016
Longa e Sombria Hora do Chá da Alma; Douglas Adams;9788580415599;224;2016
Veneno;Mia Sheridan;9788580415858;352;2016
 A Viajante do Tempo;Diana Gabaldon;9788580416039;800;2016
Apenas Um Garoto;Bill Konigsberg;9788580415896;256;2016
As Cores Da Vida;Kristin Hannah;9788580415957;352;2016
A Senhora do Império;Raymond E. Feist;9788580415995;752;2016
Essa Luz Tão Brilhante;Estelle Laure;9788580416015;208;2016
As Sete Irmãs;Lucinda Riley;9788580415919;480;2016
A Irmã da Tempestade;Lucinda Riley;9788580416053;528;2016
Quando o Amor Bater à Sua Porta;Samanta Holtz;9788580415971;304;2016
A Irmã da Sombra;Lucinda Riley;9788580415933;512;2016
O Coração da Esfinge;Colleen Houck;9788580416060;368;2016
O Feiticeiro de Terramar;Ursula K. Le Guin;9788580415216;176;2016
O Medo Mais Profundo;Harlan Coben;9788580416145;272;2016
Um Porto Seguro;Nicholas Sparks;9788580416084;304;2016
O Guardião;Nicholas Sparks;9788580416121;352;2016
Dez Formas De Fazer Um Coração Se Derreter;Sarah MacLean;9788580415292;352;2016
À Sua Espera;Abbi Glines;9788580416169;240;2016
O Código Da Vinci;Dan Brown;9788580416251;312;2016
A Sombra do Passado;Sylvain Reynard;9788580416275;304;2016
Ligeiramente Pecaminosos;Mary Balogh;9788580416176;272;2016
Depois Daquela Montanha;Charles Martin;9788580416190;304;2016
O Primeiro Dia do Resto da Nossa Vida;Kate Eberlen;9788580416213;432;2016
Kiro e Emily;Abbi Glines;9788580416107;117;2016
As Cordas Mágicas;Mitch Albom;9788580416305;352;2016
E Viveram Felizes Para Sempre;Julia Quinn;9788580416374;256;2016
O Homem de São Petersburgo;Ken Follett;9788580416350;336;2016
O Par Perfeito;Nora Roberts;9788580415254;320;2016
Escândalo de Cetim;Loretta Chase;9788580416398;272;2016
A Cidade dos Espelhos;Justin Cronin;9788580416435;688;2016
À Primeira Vista;Nicholas Sparks;9788580416503;256;2016
O Casamento;Nicholas Sparks;9788580416497;224;2016
Dois a Dois;Nicholas Sparks;9788580416923;416;2016
Escola 7 - O Melhor Amigo do Cão;James Patterson;9789898849366;256;2016
Nove Regras a Ignorar Antes de se Apaixonar;Sarah MacLean;nan;384;2016
Mago, Aprendiz;Raymond E. Feist;nan;519;2016
Mago, Mestre;Raymond E. Feist;nan;525;2016
Mago, Espinho de Prata;Raymond E. Feist;nan;418;2016
Mago, As Trevas de Sethanon;Raymond E. Feist;nan;593;2016
O Duelo dos Reis;Joe Abercrombie;9788580413755;576;2015
Para Sir Phillip, Com Amor;Julia Quinn;9788580413625;276;2015
O Conde Enfeitiçado;Julia Quinn;9788580414400;304;2015
República de Ladrões;Scott Lynch;9788580413915;544;2015
A Música do Silêncio;Patrick Rothfuss;9788580413533;144;2015
O Príncipe das Sombras;Sylvain Reynard;9788580413649;128;2015
Paixão ao Entardecer;Lisa Kleypas;9788580413557;272;2015
Segredos de Um Pecador;Madeline Hunter;9788580413823;240;2015
Ligeiramente Maliciosos;Mary Balogh;9788580413939;288;2015
O Príncipe dos Canalhas;Loretta Chase;9788580413991;326;2015
Simples Perfeição;Abbi Glines;9788580413571;208;2015
Morte Invisível;Lene Kaaberbøl;9788580413519;320;2015
Bruxa da Noite;Nora Roberts;9788580413847;320;2015
Amaldiçoado;Joe Hill;9788580413595;320;2015
A Linguagem das Flores;Vanessa Diffenbaugh;9788580413717;304;2015
A Toda Prova;Harlan Coben;9788580413687;224;2015
A Rainha Normanda;Patricia Bracewell;9788580413779;419;2015
Perdas e Danos;Diane Chamberlain;9788580413106;256;2015
Tensão;Gail McHugh;9788580413731;336;2015
O Voo da Libélula;Michel Bussi;9788580413663;400;2015
Uma Longa Jornada;Nicholas Sparks;9788580413885;368;2015
A Transformação de Raven;Sylvain Reynard;9788580413861;448;2015
A Primeira Chance;Abbi Glines;9788580414592;224;2015
Agência de Investigações Holísticas Dirk Gently; Douglas Adams;9788580413953;240;2015
O Sangue do Cordeiro;Sam Cabot;9788580413892;368;2015
Predestinadas;Jessica Spotswood;9788580413977;288;2015
O Milagre;Nicholas Sparks;9788580414011;288;2015
Que Falta Você Me Faz;Harlan Coben;9788580414035;363;2015
Uma Curva No Tempo;Dani Atkins;9788580414134;240;2015
Rush Sem Limites;Abbi Glines;9788580414110;192;2015
Segredos de Uma Noite de Verão;Lisa Kleypas;9788580414271;288;2015
As Espiãs do Dia D;Ken Follett;9788580414097;448;2015
O Que Eu Quero Pra Mim;Lycia Barros;9788580414066;208;2015
Eu Estive Aqui;Gayle Forman;9788580414233;240;2015
Memórias de Uma Gueixa;Arthur Golden;9788580414257;448;2015
Três Semanas Com Meu Irmão;Nicholas Sparks;9788580414219;317;2015
As Regras da Sedução;Madeline Hunter;9788580414165;272;2015
Lições do Desejo;Madeline Hunter;9788580414172;272;2015
Pulsação;Gail McHugh;9788580414349;352;2015
Feitiço da Sombra;Nora Roberts;9788580414189;288;2015
O Despertar do Príncipe;Colleen Houck;9788580414363;384;2015
Antes de Partir Desta Pra Uma Melhor;Jonathan Tropper;9788580414325;256;2015
Peter Pan Tem Que Morrer;John Verdon;9788580414387;400;2015
Ligeiramente Escandalosos;Mary Balogh;9788580414547;288;2015
A Voz do Arqueiro;Mia Sheridan;9788580414448;336;2015
O Manuscrito;Chris Pavone;9788580414462;336;2015
Zoo;James Patterson;9788580414424;288;2015
Perdido em Marte;Andy Weir;9788580414486;336;2015
Desejo Proibido;Sophie Jackson;9788580414509;416;2015
A Garota Inglesa;Daniel Silva;9788580414561;336;2015
A Irmandade Perdida;Anne Fortier;9788580414523;528;2015
Detalhe Final;Harlan Coben;9788580414578;304;2015
Confissões de Inverno;Brendan Kiely;9788580414639;224;2015
Noites de Tormenta;Nicholas Sparks;9788580414653;176;2015
O Rouxinol;Kristin Hannah;9788580414677;432;2015
O Coração do Leão;Mia Sheridan;nan;208;2015
A Irmã da Tempestade;Lucinda Riley;9788580414776;528;2015
O Último dos Canalhas;Loretta Chase;9788580414752;304;2015
Mundo Sem Fim;Ken Follett;9788580414738;1131;2015
Magia do Sangue;Nora Roberts;9788580414714;288;2015
Eva;William P. Young;9788580414615;240;2015
Quarteto de Noivas;Nora Roberts;9788580413397;1168;2015
Uma Longa Jornada;Nicholas Sparks;9788580416480;288;2015
Fortaleza Digital;Dan Brown;nan;424;2015
O guia definitivo do mochileiro das galáxias; Douglas Adams;nan;916;2015
Paixão ao Entardecer;Lisa Kleypas;nan;349;2015
Os Mercadores da Noite;Ivan Sant'Anna;nan;515;2015
Uma Curva Na Estrada;Nicholas Sparks;9788580411157;304;2014
Tentação ao Pôr do Sol;Lisa Kleypas;9788580412345;272;2014
Antes da Forca;Joe Abercrombie;9788580412871;496;2014
A Redenção de Gabriel;Sylvain Reynard;9788580412406;432;2014
Um Perfeito Cavalheiro;Julia Quinn;9788580412383;304;2014
Jogos do Prazer;Madeline Hunter;9788580412437;240;2014
Mar de Rosas;Nora Roberts;9788580412734;288;2014
Enfeitiçadas;Jessica Spotswood;9788580412307;272;2014
As Mentiras de Locke Lamora;Scott Lynch;9788580412499;464;2014
Tentação Sem Limites;Abbi Glines;9788580412451;208;2014
9º Julgamento;James Patterson;9788580412321;192;2014
Terra Sem Lei;John Sandford;9788580412369;288;2014
Amigas Para Sempre;Kristin Hannah;9788580412512;446;2014
Segredos e Mentiras;Diane Chamberlain;9788580412192;288;2014
Manhã de Núpcias;Lisa Kleypas;9788580412895;272;2014
Os Segredos de Colin Bridgerton;Julia Quinn;9788580413076;336;2014
Amaldiçoadas;Jessica Spotswood;9788580413373;288;2014
Roleta Russa;Jason Matthews;9788580412758;432;2014
Os Assassinos do Cartão-Postal;Liza Marklund;9788580412710;304;2014
Querida Sue;Jessica Brockmole;9788580412635;256;2014
Bem-Casados;Nora Roberts;9788580413052;302;2014
Estranha Perfeição;Abbi Glines;9788580412819;208;2014
A Promessa do Tigre;Colleen Houck;9788580413014;128;2014
Os Três;Sarah Lotz;9788580412697;400;2014
Escravas de Coragem;Kathleen Grissom;9788580412789;336;2014
O Salmão da Dúvida; Douglas Adams;9788580412840;304;2014
Julieta;Anne Fortier;9788580412659;400;2014
Mares de Sangue;Scott Lynch;9788580413144;512;2014
Seis Anos Depois;Harlan Coben;9788580412536;272;2014
O Sobrevivente;Gregg Hurwitz;9788580412956;368;2014
O Resgate;Nicholas Sparks;9788580412932;320;2014
Reconstruindo Amelia;Kimberly McCreight;9788580412857;352;2014
Nosferatu;Joe Hill;9788580412970;624;2014
A Bandeja;Lycia Barros;9788580412796;240;2014
Eternidade Por Um Fio;Ken Follett;9788580412918;1072;2014
Private - Londres;James Patterson;9788580413038;266;2014
O Doador de Memórias;Lois Lowry;9788580412994;192;2014
Amor Sem Limites;Abbi Glines;9788580413120;192;2014
Mar da tranquilidade;Katja Millay;9788580413250;368;2014
O Sexto Homem;David Baldacci;9788580413199;352;2014
Primavera Eterna;Paula Abreu;9788580413236;128;2014
Ligeiramente Casados;Mary Balogh;9788580413212;288;2014
O Desertor;Daniel Silva;9788580413328;304;2014
Perdido em Marte;Andy Weir;9788580413359;336;2014
Sete Dias Sem Fim;Jonathan Tropper;9788580411553;304;2014
O Melhor de Mim;Nicholas Sparks;9788580413342;224;2014
O Primeiro Telefonema do Céu;Mitch Albom;9788580413496;288;2014
Corra, Alex Cross;James Patterson;9788580413441;224;2014
Um Passo em Falso;Harlan Coben;9788580413403;272;2014
A Escolhida;Lois Lowry;9788580413472;192;2014
Um lugar chamado liberdade;Ken Follett;9788580413304;400;2014
Inferno;Dan Brown;9788580413090;416;2014
A Promessa do Tigre;Colleen Houck;nan;128;2014
Manhã de Núpcias;Lisa Kleypas;nan;281;2014
Como Salvar Um Vampiro Apaixonado;Beth Fantaskey;9788580411935;272;2013
Escola: Os Piores Anos da Minha Vida;James Patterson;9788580411225;288;2013
O Destino do Tigre;Colleen Houck;9788580411386;400;2013
Os Doze;Justin Cronin;9788580411065;592;2013
O Julgamento de Gabriel;Sylvain Reynard;9788580411850;384;2013
Lua de Mel;James Patterson;9788580411249;213;2013
Um Certo Verão;David Baldacci;9788580411256;271;2013
O Inferno de Gabriel;Sylvain Reynard;9788580411263;512;2013
Inferno;Dan Brown;9788580411522;448;2013
Profecia;S. J. Parris;9788580411270;320;2013
É Melhor Não Saber;Chevy Stevens;9788580411218;320;2013
O Preço da Vitória;Harlan Coben;9788580411232;256;2013
Poder Absoluto;David Baldacci;9788580411201;384;2013
Juntos Para Sempre;Walcyr Carrasco;9788580411355;208;2013
Noite de Tempestade;John Sandford;9788580411379;272;2013
Fique Comigo;Harlan Coben;9788580411294;288;2013
Retrato de Uma Espiã;Daniel Silva;9788580411393;304;2013
Desejo à Meia-Noite;Lisa Kleypas;9788580411492;272;2013
O Duque e Eu;Julia Quinn;9788580411461;288;2013
As Regras da Sedução;Madeline Hunter;9788580411416;272;2013
Você é o Próximo;Gregg Hurwitz;9788580411713;368;2013
Quando Você Voltar;Kristin Hannah;9788580411584;352;2013
O Maior Amor do Mundo;Seré Prince Halverson;9788580411287;320;2013
Armadilhas da Mente;Augusto Cury;9788580411614;256;2013
Os Impostores;Chris Pavone;9788580411638;336;2013
Sete Dias Sem Fim;Jonathan Tropper;9788580411553;304;2013
O Guardião do Tempo;Mitch Albom;9788580414080;240;2013
8ª Confissão;James Patterson;9788580411676;187;2013
Sedução ao Amanhecer;Lisa Kleypas;9788580411652;247;2013
Uma Questão de Segundos;Harlan Coben;9788580411768;224;2013
O Menino da Mala;Lene Kaaberbøl;9788580411836;256;2013
O Poder da Espada;Joe Abercrombie;9788580411874;480;2013
Private - Suspeito Nº 1;James Patterson;9788580411782;220;2013
O Visconde Que Me Amava;Julia Quinn;9788580411973;288;2013
Não Brinque Com Fogo;John Verdon;9788580411911;400;2013
Uma Longa Jornada;Nicholas Sparks;9788580411959;368;2013
Lições do Desejo;Madeline Hunter;9788580412017;272;2013
Livrai-nos do Mal;David Baldacci;9788580411997;320;2013
Escola 2: O Rebelde Está de Volta!;James Patterson;9788580412031;264;2013
Dançando Sobre Cacos de Vidro;Ka Hancock;9788580412079;336;2013
Anjo Caído;Daniel Silva;9788580412093;272;2013
Pela Luz dos Olhos Seus;Janine Boissard;9788580412109;224;2013
Onde Mora A Coragem;Stanley Gordon West;9788580412055;496;2013
Sessão de Terapia;Jaqueline Vargas;9788580412130;280;2013
Marcoré;Antônio Olavo Pereira;9788580412123;224;2013
Álbum de Casamento;Nora Roberts;9788580412215;288;2013
Lua Vermelha;Benjamin Percy;9788580412185;432;2013
Paixão Sem Limites;Abbi Glines;9788580412208;192;2013
Feliz Natal, Alex Cross;James Patterson,;9788580412154;176;2013
O Inocente;Harlan Coben;9788580412246;336;2013
A Maldição do Tigre;Colleen Houck;9788580411607;288;2013
O Destino do Tigre;Colleen Houck;9788580411546;488;2013
Desejo à Meia-Noite;Lisa Kleypas;nan;305;2013
Sedução ao Amanhecer;Lisa Kleypas;nan;319;2013
O Símbolo Perdido;Dan Brown;nan;608;2013
A Sombra da Lua;John Sandford;9788580410297;272;2012
Tudo pode mudar;Jonathan Tropper;9788580410303;288;2012
O Resgate do Tigre;Colleen Houck;9788580410617;522;2012
Jogada Mortal;Harlan Coben;9788580410464;256;2012
Dias de Chuva e Tempestade;Nancy Pickard;9788580410471;227;2012
Nunca Diga Adeus;Doug Magee;9788580410488;240;2012
O Melhor de Mim;Nicholas Sparks;9788580410495;272;2012
Fogo Cruzado;James Patterson;9788580410525;208;2012
6º Alvo;James Patterson;9788580410549;203;2012
Private - Agência Internacional de Investigações;James Patterson;9788580410532;222;2012
Guerreiros da Esperança;Andrea Hirata;9788580410679;288;2012
A Viagem do Tigre;Colleen Houck;9788580411133;485;2012
Você Está Sendo Vigiado;Gregg Hurwitz;9788580410686;272;2012
Refúgio;Harlan Coben;9788580410723;224;2012
Private - Missão Jogos Olímpicos;James Patterson;9788580410716;256;2012
Feche Bem os Olhos;John Verdon;9788580410730;432;2012
A Cabana;William P. Young;9788580410259;176;2012
Traição em Família;David Baldacci;9788580410655;384;2012
Inverno do Mundo;Ken Follett;9788580410891;880;2012
O Caso Rembrandt;Daniel Silva;9788580410808;304;2012
Os Mistérios da Coroa;Nancy Bilyeau;9788580410822;384;2012
O caminho para casa;Kristin Hannah;9788580410815;352;2012
Sem Deixar Rastros;Harlan Coben;9788580410907;272;2012
A Travessia;William P. Young;9788580411089;240;2012
Corajosos;Randy Alcorn;9788580411058;288;2012
Ameaça Mortal;James Patterson;9788580411041;192;2012
7° Céu;James Patterson;9788580410884;193;2012
À Primeira Vista;Nicholas Sparks;9788580410556;256;2012
O Código Da Vinci;Dan Brown;9788599296127;368;2012
O Casamento;Nicholas Sparks;9788580412598;223;2012
A Maldição do Tigre;Colleen Houck;9788580410587;446;2012
O Resgate do Tigre;Colleen Houck;9788580410914;529;2012
A Traição;Christopher Reich;9788580410013;304;2011
Heresia;S. J. Parris;9789722630399;360;2011
Lago dos Sonhos;Kim Edwards;9788580410044;329;2011
Ladrões de Elite;Ally Carter;9788580410068;240;2011
Quando Ela Se Foi;Harlan Coben;9788580410112;256;2011
Identidade Roubada;Chevy Stevens;9788580410129;256;2011
Eu Sei O Que Você Está Pensando;John Verdon;9788580410143;352;2011
Como Se Livrar de Um Vampiro Apaixonado;Beth Fantaskey;9788599296905;304;2011
A Vida em Tons de Cinza;Ruta Sepetys;9788580410167;240;2011
Água para Elefantes;Sara Gruen;9788599296158;272;2011
A Linguagem das Flores;Vanessa Diffenbaugh;9788580410174;282;2011
4 de Julho;James Patterson;9788580410204;224;2011
O Dia da Caça;James Patterson;9788580410198;224;2011
Alta Tensão;Harlan Coben;9788580410211;272;2011
A Maldição do Tigre;Colleen Houck;9788580410266;352;2011
O Diário de Suzana Para Nicolas;James Patterson;9788580410273;224;2011
Quebra de Confiança;Harlan Coben;9788580410037;272;2011
Toda a Verdade;David Baldacci;9788580410310;304;2011
O Temor do Sábio;Patrick Rothfuss;9788580410327;960;2011
Eu, Alex Cross;James Patterson;9788580410334;224;2011
5º Cavaleiro;James Patterson;9788580410341;213;2011
Box A maldição do tigre;Colleen Houck;nan;2757;2011
A Passagem;Justin Cronin;9788599296820;816;2010
Cilada;Harlan Coben;9788599296936;272;2010
Queda de Gigantes;Ken Follett;9788599296851;912;2010
Julieta;Anne Fortier;9788599296912;441;2010
A Revolta de Atlas;Ayn Rand;9788599296837;1216;2010
O Futuro Da Humanidade;Augusto Cury;9788599296998;176;2010
A Vida, o Universo e Tudo Mais; Douglas Adams;9788599296967;160;2010
A Farsa;Christopher Reich;9788599296417;336;2009
Desaparecido Para Sempre;Harlan Coben;9788599296707;302;2009
O Símbolo Perdido;Dan Brown;9788599296554;496;2009
O Guardião de Memórias;Kim Edwards;9788599296141;369;2009
E Tem Outra Coisa...;Eoin Colfer;9788580410228;368;2009
O Nome do Vento;Patrick Rothfuss;9788599296493;656;2009
Fortaleza Digital;Dan Brown;9788599296202;320;2008
A Cabana;William P. Young;9788599296363;240;2008
A Estrada da Noite;Joe Hill;9788599296134;256;2007
A Conspiração Franciscana;John Sack;9788599296165;440;2007
Ponto De Impacto;Dan Brown;9788599296011;448;2005
Anjos e Demônios;Dan Brown;9788575421468;480;2004
Corte de Chamas Prateadas;Sarah J. Maas;nan;648;2021
Beijos em Nova York;Catherine Rider;9788501113962;240;2020
O cuidadoso despir do amor;Corey Ann Haydu;9788501114471;266;2020
League of Legends: Reinos de Runeterra;Riot Games;9788501118462;256;2020
Como sair com homens quando você odeia homens;Blythe Roberson;9788501118783;288;2020
Verity;Colleen Hoover;9788501117847;320;2020
O Rei Perverso;Holly Black;9788501303516;308;2020
O Rei Perverso;Holly Black;9788501118837;308;2020
Box Trono de Vidro (Acompanha Brindes);Sarah J mass;9788501303493;4606;2020
Chain of Gold;Cassandra Clare;nan;589;2020
A onda;Todd Strasser;9788501118813;160;2020
Cidade dos Ossos;Cassandra Clare;9788501087140;462;2020
Querido Ex;Juan Jullian;9788501118905;176;2020
Talvez Agora;Colleen Hoover;nan;380;2020
Guia de alimentação e cuidado de um buraco negro de estimação;Michelle Cuevas;9788501118851;222;2020
Fada-na-fila-de-espera;Sophie Kinsella;9788501119025;176;2020
Box Corte de Espinhos e Rosas 4 Volumes (Acompanha Brindes);Sarah J. Maas;9788501303691;1416;2020
Casa de Terra e Sangue;Sarah J. Maas;9788501119599;896;2020
Artemis Fowl: O menino prodígio do crime;Eoin Colfer;9788501118035;286;2020
Reino de Cinzas;Sarah J. Maas;9788501116307;936;2020
Meninas Selvagens;Rory Power;9788501303721;320;2020
Princesa Mecânica;Cassandra Clare;9786555870381;433;2020
Box As Peças Infernais 3 volumes;Cassandra Clare;9788501119612;1114;2020
Meninas selvagens;Rory Power;9788501119452;320;2020
Você tem a vida inteira;Lucas Rocha;9788501303738;304;2020
O Guia da Donzela para Anáguas e Pirataria;Mackenzi Lee;9788501119889;406;2020
Casa de Terra e Sangue;Sarah J. Maas;nan;1020;2020
Corrente de Ouro;Cassandra Clare;9788501303899;598;2020
Êxtase;Lauren Kate;9788501089656;346;2020
A Rainha do Nada;Holly Black;9788501304018;294;2020
Casa De Terra E Sangue (vol. 1 Cidade Da Lua Crescente);Sarah J. Maas;9788501303820;896;2020
O ódio que você semeia;Angie Thomas;9788501110817;378;2020
Se não fosse você;Colleen Hoover;9788501119575;400;2020
Corrente de Ouro;Cassandra Clare;nan;625;2020
Corte de Espinhos e Rosas;Sarah J. Maas;9788501105875;434;2020
Corte de Névoa e Fúria;Sarah J. Maas;9788501076601;658;2020
Corte de Asas e Ruína;Sarah J. Maas;9788501110121;686;2020
Corte de Gelo e Estrelas;Sarah J. Maas;9788501115607;238;2020
Para Sempre Caídos;Cassandra Clare;9788501119117;100;2020
O Mundo Perdido;Cassandra Clare;9788501119100;100;2020
Talvez Agora;Colleen Hoover;9788501117854;352;2020
A mão que te alimenta;A. J. Rich;9788501115126;266;2019
Rainha do Ar e da Escuridão;Cassandra Clare;9788501401069;742;2019
O destino dos deuses;Matthew J. Kirby;9788501115225;322;2019
Crianças do Éden;Joey Graceffa;9788501116277;266;2019
Cinderela Pop;Paula Pimenta;9788501116161;160;2019
Através do sangue, através do fogo;Cassandra Clare;nan;70;2019
Reino de Cinzas;Sarah J. Maas;9788501116307;938;2019
Nunca Jamais;Colleen Hoover;9788501116444;144;2019
A Fada Mamãe e Eu;Sophie Kinsella;9788501114303;176;2019
BTS: A biografia não oficial dos ícones do K-Pop;Adrain Besley;9788501116451;210;2019
A Torre de Ouro;Holly Black;9788501117052;240;2019
36 perguntas que mudaram o que sinto por você;Vicki Grant;nan;335;2019
À Beira da Eternidade;Melissa E. Hurst;9788501114037;322;2019
36 perguntas que mudaram o que sinto por você;Vicki Grant;9788501114044;252;2019
Impostores;Scott Westerfeld;9788501117038;352;2019
Especial;Ryan O'Connell;9788501117373;224;2019
Quando Não Há Palavras;Julie Buxbaum;9788501115171;304;2019
Confidências de Uma Ex-Popular;Ray Tavares;9788501117755;434;2019
Refugiados;Alan Gratz;nan;300;2019
Refugiados;Alan Gratz;9788501116468;288;2019
Você Sabe Onde Me Encontrar;Rachel Cohn;9788501086730;208;2019
Na Hora da Virada;Angie Thomas;9788501117045;378;2019
Todas as Suas (Im)Perfeições;Colleen Hoover;9788501303172;304;2019
Todas as Suas (Im)Perfeições;Colleen Hoover;9788501117687;304;2019
Mortos Não Contam Segredos;Karen M. McManus;nan;400;2019
Mortos Não Contam Segredos;Karen M. McManus;9788501117281;352;2019
Fantasmas do Mercado das Sombras;Cassandra Clare;9788501116475;476;2019
Cidade das Almas Perdidas e Cidade do Fogo Celestial;Cassandra Clare;9788501114815;864;2019
As Três Partes de Grace;Robin Benway;9788501114464;322;2019
World of Warcraft - Antes da Tempestade;Christie Golden;9788501116123;308;2019
Império de Tempestades - Tomo Único;Sarah J. Maas;9788501112606;658;2019
As Quatro Rainhas Mortas;Astrid Scholte;9788501118271;392;2019
As Quatro Rainhas Mortas;Astrid Scholte;9788501303318;392;2019
Algum Dia;David Levithan;9788501117984;266;2019
Use A Moda A Seu Favor;Carla Lemos;9788501109361;160;2019
Mais classificados e nem tanto;Marina Colasanti;9788501114976;96;2019
Os Pergaminhos Vermelhos da Magia;Wesley Chu;9788501118288;294;2019
O Amor Não é Obvio; Elayne Baeta;9788501118264;392;2019
Algum Dia;David Levithan;9788501117984;334;2019
Trono de Vidro;Sarah J. Maas;9788501401380;392;2019
Confidências de uma ex-popular;Ray Tavares;nan;430;2019
Cidade dos Anjos Caídos;Cassandra Clare;9788501092717;364;2019
Cidade das Almas Perdidas;Cassandra Clare;9788501403285;434;2019
Cidade dos Ossos;Cassandra Clare;9788501092144;476;2018
Cidade de Vidro;Cassandra Clare;9788501092267;476;2018
Cidade das Cinzas;Cassandra Clare;9788501092250;448;2018
Cidade do Fogo Celestial;Cassandra Clare;9788501093240;532;2018
Cidade das Almas Perdidas;Cassandra Clare;9788501092908;448;2018
Harry Potter - O Livro das Varinhas;Monique Peterson;9788501111951;154;2018
É Assim Que Acaba;Colleen Hoover;9788501112514;368;2018
Um de Nós Está Mentindo;Karen M. McManus;9788501112521;384;2018
A Garota Que Bebeu a Lua;Kelly Barnhill;9788501110077;308;2018
Renascer;Anna Carey;9788501092779;256;2018
A Tentação;L. J. Smith;9788501113139;256;2018
A Colisão dos Mundos;Ned Vizzini;9788501113276;364;2018
A Falta Que Me Faz;Meg Cabot;9788501113382;272;2018
A Gaiola Dourada;Vic James;9788501113993;336;2018
Cidade dos Anjos Caídos;Cassandra Clare;9788501092274;364;2018
Frio Congelante;Sarah Mlynowski;9788501112668;160;2018
Heresia;S. J. Parris;9788501114013;308;2018
Sorte Grande;Jennifer E. Smith;9788501113122;384;2018
O Tipo Certo de Garota Errada;A.C. Meyer;9788501114020;280;2018
Liberdade;Andrea Portes;9788501113283;336;2018
As Cartas Que Escrevemos;Brittainy Cherry;9788501114945;73;2018
13 Segundos;Bel Rodrigues;9788501114990;304;2018
Heroínas;Pam Gonçalves;9788501114433;256;2018
Merlin. O Espelho do Destino - Volume 4;T. A. Barron;9788501099129;320;2018
Doce Reencontro;A.C. Meyer;nan;76;2018
O Diário de uma Pestinha;Virginy L. Sam;9788501114006;288;2018
Tarde Demais;Colleen Hoover;9788501115003;384;2018
Você Tem a Vida Inteira;Lucas Rocha;9788501115546;288;2018
Filho do Amanhecer (Son of the Dawn);Cassandra Clare;nan;57;2018
A Construção de Noah Shaw;Michelle Hodkin;9788501114297;294;2018
Longas Sombras;Cassandra Clare;9788501115218;71;2018
O Guia do Cavalheiro Para o Vício e a Virtude;Mackenzi Lee;9788501114235;434;2018
Bruxa Akata;Nnedi Okorafor;9788501114914;322;2018
Além das cores;Camila Moreira;nan;176;2018
Todas as Coisas Extraordinárias;Cassandra Clare;nan;79;2018
O Mistério do Relógio na Parede;John Bellairs;9788501114952;192;2018
50 Brasileiras Incríveis Para Conhecer Antes de Crescer;Débora Thomé;9788501114310;120;2018
A Poeta X;Elizabeth Acevedo;9788501115119;322;2018
O Príncipe Cruel;Holly Black;9788501115553;322;2018
Arte & Alma;Brittainy Cherry;9788501115584;308;2018
Aprendendo sobre perdas;Cassandra Clare;nan;49;2018
Diário de Uma Ansiosa ou Como Parei de Me Sabotar;Beth Evans;9788501115614;192;2018
Sob a Capa Vermelha;Mariana Vitória;9788501115027;362;2018
As Mil Partes do Meu Coração;Colleen Hoover;9788501115744;336;2018
Um amor mais profundo;Cassandra Clare;nan;53;2018
Choque de Cultura - 79 Filmes Pra Assistir Enquanto Dirige;Caito Mainier;9788501302717;240;2018
